timestamp,product,mid_price,sell_liquidity,buy_liquidity
11,JAMS,6522,72,72
11,PICNIC_BASKET1,58423.5,12,12
11,PICNIC_BASKET2,30066.5,12,12
12,CROISSANTS,4241,41,39
12,DJEMBES,13297.5,23,23
12,JAMS,6522,87,87
12,PICNIC_BASKET1,58416.5,15,15
12,PICNIC_BASKET2,30061.5,15,15
13,CROISSANTS,4240.5,45,45
13,DJEMBES,13296.5,16,16
13,JAMS,6521,83,83
13,PICNIC_BASKET1,58413.5,12,12
13,PICNIC_BASKET2,30060,12,12
14,CROISSANTS,4241,54,54
14,DJEMBES,13296.5,20,20
14,JAMS,6521,89,89
14,PICNIC_BASKET1,58412.5,15,15
14,PICNIC_BASKET2,30061.5,15,15
15,CROISSANTS,4241,48,48
15,DJEMBES,13297,21,21
15,JAMS,6521,64,64
15,PICNIC_BASKET1,58409.5,13,13
15,PICNIC_BASKET2,30062.5,13,13
16,CROISSANTS,4241,41,41
16,DJEMBES,13296.5,22,22
16,JAMS,6521,83,83
16,PICNIC_BASKET1,58408.5,12,12
16,PICNIC_BASKET2,30063,12,12
17,CROISSANTS,4240.5,45,45
17,DJEMBES,13296.5,20,20
17,JAMS,6520.5,78,78
17,PICNIC_BASKET1,58407.5,12,12
17,PICNIC_BASKET2,30064,12,12
18,CROISSANTS,4240.5,40,40
18,DJEMBES,13297.5,17,17
18,JAMS,6519,58,58
18,PICNIC_BASKET1,58406.5,12,12
18,PICNIC_BASKET2,30058,12,12
19,CROISSANTS,4241.5,44,44
19,DJEMBES,13297.5,24,24
19,JAMS,6519,89,89
19,PICNIC_BASKET1,58408.5,12,12
19,PICNIC_BASKET2,30058.5,12,12
20,CROISSANTS,4241.5,41,41
20,DJEMBES,13298.5,19,19
20,JAMS,6518,87,87
20,PICNIC_BASKET1,58408.5,12,12
20,PICNIC_BASKET2,30055.5,12,12
21,CROISSANTS,4241.5,37,37
21,DJEMBES,13298.5,22,22
21,JAMS,6517,72,72
21,PICNIC_BASKET1,58406.5,14,14
21,PICNIC_BASKET2,30054,14,14
22,CROISSANTS,4241.5,48,48
22,DJEMBES,13298.5,24,24
22,JAMS,6517,84,84
22,PICNIC_BASKET1,58404.5,12,12
22,PICNIC_BASKET2,30052.5,12,12
23,CROISSANTS,4241.5,41,44
23,DJEMBES,13298.5,24,24
23,JAMS,6517,75,75
23,PICNIC_BASKET1,58400.5,15,15
23,PICNIC_BASKET2,30051.5,15,15
24,CROISSANTS,4241.5,45,44
24,DJEMBES,13298.5,20,20
24,JAMS,6517,78,78
24,PICNIC_BASKET1,58403.5,13,13
24,PICNIC_BASKET2,30053.5,13,13
25,CROISSANTS,4241.5,44,44
25,DJEMBES,13298.5,23,23
25,JAMS,6517,74,74
25,PICNIC_BASKET1,58401.5,12,12
25,PICNIC_BASKET2,30053.5,12,12
26,CROISSANTS,4241,40,40
26,DJEMBES,13297.5,21,21
26,JAMS,6517,71,71
26,PICNIC_BASKET1,58401.5,14,14
26,PICNIC_BASKET2,30050.5,14,14
27,CROISSANTS,4241,50,50
27,DJEMBES,13297.5,23,23
27,JAMS,6517,83,85
27,PICNIC_BASKET1,58407,16,16
27,PICNIC_BASKET2,30048.5,16,16
28,CROISSANTS,4240.5,42,42
28,DJEMBES,13297,23,23
28,JAMS,6517,61,61
28,PICNIC_BASKET1,58398.5,15,15
28,PICNIC_BASKET2,30047.5,15,15
29,CROISSANTS,4240.5,38,41
29,DJEMBES,13297.5,21,21
29,JAMS,6516.5,76,76
29,PICNIC_BASKET1,58394,12,12
29,PICNIC_BASKET2,30047,12,12
30,CROISSANTS,4241,38,38
30,DJEMBES,13297.5,19,19
30,JAMS,6517,67,67
30,PICNIC_BASKET1,58393.5,11,11
30,PICNIC_BASKET2,30047,11,11
31,CROISSANTS,4240.5,43,43
31,DJEMBES,13298,20,20
31,JAMS,6517.5,87,87
31,PICNIC_BASKET1,58396.5,12,12
31,PICNIC_BASKET2,30048.5,12,12
32,CROISSANTS,4240.5,40,40
32,DJEMBES,13298,18,18
32,JAMS,6517.5,57,57
32,PICNIC_BASKET1,58396.5,12,12
32,PICNIC_BASKET2,30049,12,12
33,CROISSANTS,4241,32,32
33,DJEMBES,13299.5,16,16
33,JAMS,6517.5,69,69
33,PICNIC_BASKET1,58402.5,9,9
33,PICNIC_BASKET2,30052,9,9
34,CROISSANTS,4240,41,41
34,DJEMBES,13300.5,22,22
34,JAMS,6517,70,67
34,PICNIC_BASKET1,58392.5,15,15
34,PICNIC_BASKET2,30049.5,15,15
35,CROISSANTS,4239.5,51,51
35,DJEMBES,13300,19,19
35,JAMS,6517,77,77
35,PICNIC_BASKET1,58395.5,11,11
35,PICNIC_BASKET2,30050,11,11
36,CROISSANTS,4239,41,41
36,DJEMBES,13300,18,18
36,JAMS,6517.5,72,72
36,PICNIC_BASKET1,58388.5,8,8
36,PICNIC_BASKET2,30047,8,8
37,CROISSANTS,4238.5,39,39
37,DJEMBES,13299.5,21,21
37,JAMS,6517,68,68
37,PICNIC_BASKET1,58381.5,13,13
37,PICNIC_BASKET2,30048,13,13
38,CROISSANTS,4238.5,33,33
38,DJEMBES,13299.5,20,20
38,JAMS,6517,62,62
38,PICNIC_BASKET1,58380.5,14,14
38,PICNIC_BASKET2,30046,14,14
39,CROISSANTS,4238.5,32,32
39,DJEMBES,13300,20,20
39,JAMS,6517,64,64
39,PICNIC_BASKET1,58377.5,11,11
39,PICNIC_BASKET2,30042.5,11,11
40,CROISSANTS,4238.5,46,46
40,DJEMBES,13300.5,23,23
40,JAMS,6517,74,74
40,PICNIC_BASKET1,58383.5,10,10
40,PICNIC_BASKET2,30046,10,10
41,CROISSANTS,4238.5,51,51
41,DJEMBES,13300.5,18,18
41,JAMS,6516.5,95,94
41,PICNIC_BASKET1,58373.5,9,9
41,PICNIC_BASKET2,30045,9,9
42,CROISSANTS,4238.5,44,44
42,DJEMBES,13299.5,18,18
42,JAMS,6516,78,78
42,PICNIC_BASKET1,58374.5,11,11
42,PICNIC_BASKET2,30043.5,11,11
43,CROISSANTS,4238.5,41,41
43,DJEMBES,13299.5,23,23
43,JAMS,6516,77,77
43,PICNIC_BASKET1,58369,12,5
43,PICNIC_BASKET2,30042,12,12
44,CROISSANTS,4238.5,46,46
44,DJEMBES,13298.5,24,24
44,JAMS,6516,87,87
44,PICNIC_BASKET1,58362.5,16,16
44,PICNIC_BASKET2,30044.5,16,16
45,CROISSANTS,4238.5,43,43
45,DJEMBES,13299.5,21,21
45,JAMS,6516,73,73
45,PICNIC_BASKET1,58368.5,13,13
45,PICNIC_BASKET2,30044,13,13
46,CROISSANTS,4238.5,43,43
46,DJEMBES,13299.5,17,17
46,JAMS,6515.5,92,92
46,PICNIC_BASKET1,58368.5,10,10
46,PICNIC_BASKET2,30045.5,10,10
47,CROISSANTS,4238.5,42,39
47,DJEMBES,13300,19,19
47,JAMS,6515.5,77,79
47,PICNIC_BASKET1,58370,14,14
47,PICNIC_BASKET2,30048,14,14
48,CROISSANTS,4238.5,38,38
48,DJEMBES,13300.5,22,22
48,JAMS,6516,92,92
48,PICNIC_BASKET1,58373,15,15
48,PICNIC_BASKET2,30051.5,15,15
49,CROISSANTS,4238.5,42,44
49,DJEMBES,13301,17,17
49,JAMS,6516,64,64
49,PICNIC_BASKET1,58373,12,12
49,PICNIC_BASKET2,30050.5,12,12
50,CROISSANTS,4238.5,42,42
50,DJEMBES,13300.5,16,16
50,JAMS,6516,73,73
50,PICNIC_BASKET1,58371.5,10,10
50,PICNIC_BASKET2,30049.5,10,10
51,CROISSANTS,4238.5,38,38
51,DJEMBES,13299,22,22
51,JAMS,6516,79,79
51,PICNIC_BASKET1,58375.5,13,13
51,PICNIC_BASKET2,30050,13,13
52,CROISSANTS,4238.5,41,41
52,DJEMBES,13298.5,22,21
52,JAMS,6516.5,66,66
52,PICNIC_BASKET1,58380.5,14,14
52,PICNIC_BASKET2,30051,14,14
53,CROISSANTS,4238.5,39,39
53,DJEMBES,13298.5,24,24
53,JAMS,6516.5,78,78
53,PICNIC_BASKET1,58372.5,16,16
53,PICNIC_BASKET2,30049.5,16,16
54,CROISSANTS,4238.5,41,41
54,DJEMBES,13298.5,20,20
54,JAMS,6516.5,66,65
54,PICNIC_BASKET1,58371.5,15,15
54,PICNIC_BASKET2,30049,15,15
55,CROISSANTS,4238.5,43,43
55,DJEMBES,13299.5,20,20
55,JAMS,6516,62,62
55,PICNIC_BASKET1,58371,14,14
55,PICNIC_BASKET2,30046.5,14,14
56,CROISSANTS,4239.5,44,44
56,DJEMBES,13299.5,17,17
56,JAMS,6515,79,79
56,PICNIC_BASKET1,58376.5,10,10
56,PICNIC_BASKET2,30052.5,10,10
57,CROISSANTS,4239.5,32,32
57,DJEMBES,13299.5,25,25
57,JAMS,6514.5,80,82
57,PICNIC_BASKET1,58384.5,14,14
57,PICNIC_BASKET2,30054.5,14,14
58,CROISSANTS,4240.5,37,37
58,DJEMBES,13299.5,19,19
58,JAMS,6515,61,61
58,PICNIC_BASKET1,58384.5,14,14
58,PICNIC_BASKET2,30060,14,14
59,CROISSANTS,4240,43,43
59,DJEMBES,13299,23,23
59,JAMS,6515,65,65
59,PICNIC_BASKET1,58381.5,14,14
59,PICNIC_BASKET2,30059,14,14
60,CROISSANTS,4240.5,48,48
60,DJEMBES,13299.5,18,18
60,JAMS,6515,69,69
60,PICNIC_BASKET1,58379.5,10,10
60,PICNIC_BASKET2,30059.5,10,10
61,CROISSANTS,4240,41,41
61,DJEMBES,13299.5,18,18
61,JAMS,6515,74,74
61,PICNIC_BASKET1,58373.5,12,12
61,PICNIC_BASKET2,30057.5,12,12
62,CROISSANTS,4239.5,45,45
62,DJEMBES,13299.5,23,23
62,JAMS,6515,71,71
62,PICNIC_BASKET1,58369.5,11,11
62,PICNIC_BASKET2,30057.5,11,11
63,CROISSANTS,4239.5,41,41
63,DJEMBES,13299.5,21,21
63,JAMS,6515,72,72
63,PICNIC_BASKET1,58366,10,10
63,PICNIC_BASKET2,30058.5,10,10
64,CROISSANTS,4239.5,46,46
64,DJEMBES,13298.5,22,22
64,JAMS,6515,86,86
64,PICNIC_BASKET1,58366.5,14,14
64,PICNIC_BASKET2,30060,14,14
65,CROISSANTS,4240,50,50
65,DJEMBES,13299,24,24
65,JAMS,6514.5,89,89
65,PICNIC_BASKET1,58367,15,15
65,PICNIC_BASKET2,30060.5,15,15
66,CROISSANTS,4240,43,46
66,DJEMBES,13299.5,25,25
66,JAMS,6514.5,61,61
66,PICNIC_BASKET1,58363.5,14,14
66,PICNIC_BASKET2,30064.5,14,14
67,CROISSANTS,4239.5,33,33
67,DJEMBES,13298.5,21,21
67,JAMS,6514,56,56
67,PICNIC_BASKET1,58359.5,10,10
67,PICNIC_BASKET2,30065,10,10
68,CROISSANTS,4239.5,40,40
68,DJEMBES,13298.5,23,23
68,JAMS,6514,65,65
68,PICNIC_BASKET1,58360.5,11,11
68,PICNIC_BASKET2,30068.5,11,11
69,CROISSANTS,4239.5,34,34
69,DJEMBES,13298.5,18,18
69,JAMS,6514,53,53
69,PICNIC_BASKET1,58356,12,12
69,PICNIC_BASKET2,30068.5,12,12
70,CROISSANTS,4239.5,43,43
70,DJEMBES,13298.5,21,21
70,JAMS,6513.5,68,68
70,PICNIC_BASKET1,58354.5,15,15
70,PICNIC_BASKET2,30064.5,15,15
71,CROISSANTS,4239.5,35,35
71,DJEMBES,13298,19,19
71,JAMS,6513.5,68,68
71,PICNIC_BASKET1,58352.5,14,12
71,PICNIC_BASKET2,30063.5,14,12
72,CROISSANTS,4238.5,51,52
72,DJEMBES,13296.5,20,20
72,JAMS,6513,67,67
72,PICNIC_BASKET1,58346.5,14,14
72,PICNIC_BASKET2,30058.5,14,14
73,CROISSANTS,4238.5,32,32
73,DJEMBES,13296,20,20
73,JAMS,6513,74,74
73,PICNIC_BASKET1,58341.5,14,14
73,PICNIC_BASKET2,30060,14,14
74,CROISSANTS,4238.5,43,43
74,DJEMBES,13292.5,16,16
74,JAMS,6513,68,65
74,PICNIC_BASKET1,58334.5,11,11
74,PICNIC_BASKET2,30061.5,11,11
75,CROISSANTS,4238.5,38,38
75,DJEMBES,13289.5,23,23
75,JAMS,6513,92,92
75,PICNIC_BASKET1,58329,11,11
75,PICNIC_BASKET2,30059.5,11,11
76,CROISSANTS,4238.5,44,44
76,DJEMBES,13289.5,23,23
76,JAMS,6513,81,81
76,PICNIC_BASKET1,58324.5,13,13
76,PICNIC_BASKET2,30059,13,13
77,CROISSANTS,4238.5,34,34
77,DJEMBES,13288.5,20,20
77,JAMS,6512.5,56,56
77,PICNIC_BASKET1,58327.5,13,13
77,PICNIC_BASKET2,30053.5,13,13
78,CROISSANTS,4238.5,37,37
78,DJEMBES,13289.5,21,21
78,JAMS,6512.5,86,86
78,PICNIC_BASKET1,58328.5,11,11
78,PICNIC_BASKET2,30052,11,11
79,CROISSANTS,4238.5,46,46
79,DJEMBES,13289.5,19,19
79,JAMS,6512.5,79,79
79,PICNIC_BASKET1,58331,13,13
79,PICNIC_BASKET2,30055.5,13,13
80,CROISSANTS,4238.5,30,30
80,DJEMBES,13289.5,19,19
80,JAMS,6511.5,78,78
80,PICNIC_BASKET1,58326.5,12,12
80,PICNIC_BASKET2,30050.5,12,12
81,CROISSANTS,4238.5,51,51
81,DJEMBES,13289.5,24,24
81,JAMS,6512,68,68
81,PICNIC_BASKET1,58329,13,13
81,PICNIC_BASKET2,30049.5,13,13
82,CROISSANTS,4238.5,36,36
82,DJEMBES,13292.5,20,20
82,JAMS,6512,61,61
82,PICNIC_BASKET1,58334.5,14,14
82,PICNIC_BASKET2,30051.5,14,14
83,CROISSANTS,4238.5,40,40
83,DJEMBES,13294.5,20,20
83,JAMS,6512.5,90,90
83,PICNIC_BASKET1,58340.5,14,14
83,PICNIC_BASKET2,30055,14,14
84,CROISSANTS,4238.5,30,30
84,DJEMBES,13294.5,23,23
84,JAMS,6512,59,59
84,PICNIC_BASKET1,58330.5,14,14
84,PICNIC_BASKET2,30055.5,14,14
85,CROISSANTS,4238.5,35,35
85,DJEMBES,13295,24,24
85,JAMS,6512,73,73
85,PICNIC_BASKET1,58336.5,15,15
85,PICNIC_BASKET2,30057.5,15,15
86,CROISSANTS,4238.5,30,30
86,DJEMBES,13295.5,16,16
86,JAMS,6512.5,59,59
86,PICNIC_BASKET1,58340.5,12,12
86,PICNIC_BASKET2,30059.5,12,12
87,CROISSANTS,4238.5,37,37
87,DJEMBES,13295.5,19,19
87,JAMS,6512,63,63
87,PICNIC_BASKET1,58337.5,13,13
87,PICNIC_BASKET2,30057.5,13,13
88,CROISSANTS,4239,39,39
88,DJEMBES,13296.5,22,22
88,JAMS,6512.5,58,59
88,PICNIC_BASKET1,58343.5,11,11
88,PICNIC_BASKET2,30061.5,11,11
89,CROISSANTS,4239.5,38,38
89,DJEMBES,13296.5,18,18
89,JAMS,6513,81,81
89,PICNIC_BASKET1,58346.5,10,10
89,PICNIC_BASKET2,30064.5,10,10
90,CROISSANTS,4239,43,43
90,DJEMBES,13296.5,20,20
90,JAMS,6513,68,68
90,PICNIC_BASKET1,58351,12,12
90,PICNIC_BASKET2,30063.5,12,12
91,CROISSANTS,4239.5,31,32
91,DJEMBES,13296.5,20,20
91,JAMS,6513.5,56,56
91,PICNIC_BASKET1,58352.5,14,14
91,PICNIC_BASKET2,30069.5,14,14
92,CROISSANTS,4239.5,44,44
92,DJEMBES,13294.5,19,19
92,JAMS,6514,74,74
92,PICNIC_BASKET1,58346.5,12,15
92,PICNIC_BASKET2,30069,12,15
93,CROISSANTS,4239.5,39,39
93,DJEMBES,13291.5,21,21
93,JAMS,6514,85,85
93,PICNIC_BASKET1,58346.5,12,12
93,PICNIC_BASKET2,30068.5,12,12
94,CROISSANTS,4239.5,46,46
94,DJEMBES,13291.5,23,23
94,JAMS,6514,67,67
94,PICNIC_BASKET1,58344,16,16
94,PICNIC_BASKET2,30068.5,16,16
95,CROISSANTS,4239.5,45,45
95,DJEMBES,13291.5,24,24
95,JAMS,6514,92,92
95,PICNIC_BASKET1,58343.5,16,16
95,PICNIC_BASKET2,30068.5,16,16
96,CROISSANTS,4239.5,32,32
96,DJEMBES,13293.5,20,20
96,JAMS,6514,66,63
96,PICNIC_BASKET1,58344,11,9
96,PICNIC_BASKET2,30071,11,9
97,CROISSANTS,4239.5,43,41
97,DJEMBES,13294,21,21
97,JAMS,6514,86,86
97,PICNIC_BASKET1,58344.5,10,10
97,PICNIC_BASKET2,30067,10,10
98,CROISSANTS,4239.5,47,47
98,DJEMBES,13294.5,25,25
98,JAMS,6513.5,69,69
98,PICNIC_BASKET1,58342.5,13,14
98,PICNIC_BASKET2,30066.5,13,14
99,CROISSANTS,4239.5,46,46
99,DJEMBES,13295.5,24,24
99,JAMS,6513,60,60
99,PICNIC_BASKET1,58341.5,13,13
99,PICNIC_BASKET2,30067,13,13
100,CROISSANTS,4238.5,37,37
100,DJEMBES,13295.5,17,17
100,JAMS,6513,84,84
100,PICNIC_BASKET1,58339,10,10
100,PICNIC_BASKET2,30067.5,10,10
101,CROISSANTS,4239,36,36
101,DJEMBES,13295.5,22,22
101,JAMS,6513,55,55
101,PICNIC_BASKET1,58345,9,9
101,PICNIC_BASKET2,30070,9,9
102,CROISSANTS,4238.5,46,46
102,DJEMBES,13296,18,18
102,JAMS,6513,73,73
102,PICNIC_BASKET1,58342.5,14,14
102,PICNIC_BASKET2,30071.5,14,14
103,CROISSANTS,4238.5,50,50
103,DJEMBES,13297.5,20,20
103,JAMS,6513.5,82,82
103,PICNIC_BASKET1,58342,10,10
103,PICNIC_BASKET2,30071.5,10,10
104,CROISSANTS,4239,43,43
104,DJEMBES,13298,21,21
104,JAMS,6514,74,74
104,PICNIC_BASKET1,58346,13,13
104,PICNIC_BASKET2,30075,13,13
105,CROISSANTS,4238.5,40,40
105,DJEMBES,13297.5,16,16
105,JAMS,6514,64,64
105,PICNIC_BASKET1,58343.5,12,12
105,PICNIC_BASKET2,30075.5,12,12
106,CROISSANTS,4238.5,40,38
106,DJEMBES,13297.5,20,20
106,JAMS,6514.5,76,74
106,PICNIC_BASKET1,58344.5,13,13
106,PICNIC_BASKET2,30074.5,13,13
107,CROISSANTS,4238,39,39
107,DJEMBES,13298.5,18,18
107,JAMS,6514.5,77,77
107,PICNIC_BASKET1,58342.5,12,12
107,PICNIC_BASKET2,30073.5,12,12
108,CROISSANTS,4237.5,40,40
108,DJEMBES,13298.5,19,19
108,JAMS,6514.5,68,68
108,PICNIC_BASKET1,58337.5,15,15
108,PICNIC_BASKET2,30070,15,15
109,CROISSANTS,4237.5,33,33
109,DJEMBES,13299,21,21
109,JAMS,6514.5,79,79
109,PICNIC_BASKET1,58341.5,14,14
109,PICNIC_BASKET2,30072.5,14,14
110,CROISSANTS,4237.5,41,41
110,DJEMBES,13298.5,22,22
110,JAMS,6514,82,82
110,PICNIC_BASKET1,58339,13,15
110,PICNIC_BASKET2,30073,13,15
111,CROISSANTS,4237.5,34,34
111,DJEMBES,13298,21,21
111,JAMS,6514.5,56,53
111,PICNIC_BASKET1,58338.5,12,12
111,PICNIC_BASKET2,30079,12,12
112,CROISSANTS,4237.5,33,33
112,DJEMBES,13297.5,20,20
112,JAMS,6514,88,88
112,PICNIC_BASKET1,58338,13,13
112,PICNIC_BASKET2,30078,13,13
113,CROISSANTS,4237.5,37,37
113,DJEMBES,13298.5,24,24
113,JAMS,6514,82,82
113,PICNIC_BASKET1,58339.5,12,12
113,PICNIC_BASKET2,30079,12,12
114,CROISSANTS,4237.5,41,41
114,DJEMBES,13298.5,19,19
114,JAMS,6514,63,63
114,PICNIC_BASKET1,58342,14,14
114,PICNIC_BASKET2,30082,14,14
115,CROISSANTS,4237.5,53,53
115,DJEMBES,13298.5,16,16
115,JAMS,6514,79,79
115,PICNIC_BASKET1,58341.5,11,11
115,PICNIC_BASKET2,30082,11,11
116,CROISSANTS,4237.5,31,31
116,DJEMBES,13298.5,23,23
116,JAMS,6514.5,74,73
116,PICNIC_BASKET1,58339.5,14,14
116,PICNIC_BASKET2,30082.5,14,14
117,CROISSANTS,4237.5,48,48
117,DJEMBES,13299.5,18,18
117,JAMS,6515,75,75
117,PICNIC_BASKET1,58346.5,11,11
117,PICNIC_BASKET2,30084.5,11,11
118,CROISSANTS,4237.5,43,43
118,DJEMBES,13299.5,22,22
118,JAMS,6515,66,66
118,PICNIC_BASKET1,58348.5,11,11
118,PICNIC_BASKET2,30088,11,11
119,CROISSANTS,4237.5,36,36
119,DJEMBES,13299.5,23,23
119,JAMS,6515,66,66
119,PICNIC_BASKET1,58352,14,14
119,PICNIC_BASKET2,30086.5,14,14
120,CROISSANTS,4237.5,47,47
120,DJEMBES,13300.5,15,15
120,JAMS,6515,68,68
120,PICNIC_BASKET1,58355.5,8,8
120,PICNIC_BASKET2,30085,8,8
121,CROISSANTS,4237.5,43,43
121,DJEMBES,13300.5,17,17
121,JAMS,6515,77,77
121,PICNIC_BASKET1,58349.5,12,12
121,PICNIC_BASKET2,30083,12,12
122,CROISSANTS,4237.5,48,48
122,DJEMBES,13300.5,19,19
122,JAMS,6515,70,70
122,PICNIC_BASKET1,58351,13,13
122,PICNIC_BASKET2,30081,13,13
123,CROISSANTS,4237.5,41,41
123,DJEMBES,13301.5,17,17
123,JAMS,6515.5,57,56
123,PICNIC_BASKET1,58350.5,10,10
123,PICNIC_BASKET2,30080.5,10,10
124,CROISSANTS,4237.5,41,41
124,DJEMBES,13301,18,18
124,JAMS,6515.5,67,67
124,PICNIC_BASKET1,58345.5,10,10
124,PICNIC_BASKET2,30078.5,10,10
125,CROISSANTS,4238,53,53
125,DJEMBES,13299.5,22,22
125,JAMS,6515.5,93,93
125,PICNIC_BASKET1,58351.5,11,11
125,PICNIC_BASKET2,30083,11,11
126,CROISSANTS,4238,44,44
126,DJEMBES,13298.5,17,17
126,JAMS,6515,84,84
126,PICNIC_BASKET1,58348.5,7,10
126,PICNIC_BASKET2,30084.5,12,10
127,CROISSANTS,4237.5,36,36
127,DJEMBES,13301,20,20
127,JAMS,6514.5,58,58
127,PICNIC_BASKET1,58343.5,10,10
127,PICNIC_BASKET2,30078,10,10
128,CROISSANTS,4237.5,37,37
128,DJEMBES,13300.5,25,25
128,JAMS,6514.5,66,66
128,PICNIC_BASKET1,58345.5,7,15
128,PICNIC_BASKET2,30079.5,16,15
129,CROISSANTS,4237,49,49
129,DJEMBES,13300.5,21,21
129,JAMS,6514.5,82,82
129,PICNIC_BASKET1,58341,12,7
129,PICNIC_BASKET2,30073.5,12,12
130,CROISSANTS,4236.5,46,46
130,DJEMBES,13300.5,23,23
130,JAMS,6514,84,84
130,PICNIC_BASKET1,58340.5,13,13
130,PICNIC_BASKET2,30071.5,13,13
131,CROISSANTS,4236.5,37,37
131,DJEMBES,13299.5,20,20
131,JAMS,6514.5,77,77
131,PICNIC_BASKET1,58336.5,15,15
131,PICNIC_BASKET2,30073.5,15,15
132,CROISSANTS,4236.5,45,45
132,DJEMBES,13300,22,22
132,JAMS,6514.5,92,92
132,PICNIC_BASKET1,58337.5,6,12
132,PICNIC_BASKET2,30074.5,13,12
133,CROISSANTS,4236.5,34,34
133,DJEMBES,13300.5,17,17
133,JAMS,6515,73,73
133,PICNIC_BASKET1,58338.5,12,12
133,PICNIC_BASKET2,30074.5,12,12
134,CROISSANTS,4236.5,51,51
134,DJEMBES,13300.5,21,21
134,JAMS,6515.5,92,92
134,PICNIC_BASKET1,58335.5,9,10
134,PICNIC_BASKET2,30072.5,9,10
135,CROISSANTS,4236.5,45,45
135,DJEMBES,13300.5,26,26
135,JAMS,6515,85,85
135,PICNIC_BASKET1,58342.5,14,14
135,PICNIC_BASKET2,30075.5,14,14
136,CROISSANTS,4236.5,43,43
136,DJEMBES,13300.5,25,25
136,JAMS,6515.5,84,84
136,PICNIC_BASKET1,58341.5,14,14
136,PICNIC_BASKET2,30072,14,14
137,CROISSANTS,4236.5,48,48
137,DJEMBES,13300.5,20,20
137,JAMS,6516,87,87
137,PICNIC_BASKET1,58347.5,8,14
137,PICNIC_BASKET2,30071.5,15,14
138,CROISSANTS,4236.5,34,34
138,DJEMBES,13300.5,15,18
138,JAMS,6516,67,67
138,PICNIC_BASKET1,58350.5,10,10
138,PICNIC_BASKET2,30072,10,10
139,CROISSANTS,4236.5,30,30
139,DJEMBES,13301,17,17
139,JAMS,6516,56,56
139,PICNIC_BASKET1,58344.5,13,13
139,PICNIC_BASKET2,30070.5,13,13
140,CROISSANTS,4236.5,42,42
140,DJEMBES,13301,18,18
140,JAMS,6516.5,65,65
140,PICNIC_BASKET1,58344.5,14,14
140,PICNIC_BASKET2,30072,14,14
141,CROISSANTS,4236.5,48,48
141,DJEMBES,13301.5,24,24
141,JAMS,6517,94,94
141,PICNIC_BASKET1,58342.5,12,12
141,PICNIC_BASKET2,30070.5,12,12
142,CROISSANTS,4236.5,38,38
142,DJEMBES,13301.5,18,18
142,JAMS,6516.5,85,85
142,PICNIC_BASKET1,58342.5,12,12
142,PICNIC_BASKET2,30069.5,12,12
143,CROISSANTS,4236.5,49,49
143,DJEMBES,13301.5,17,17
143,JAMS,6516.5,70,70
143,PICNIC_BASKET1,58343,12,12
143,PICNIC_BASKET2,30071.5,12,12
144,CROISSANTS,4236.5,40,40
144,DJEMBES,13301.5,17,17
144,JAMS,6516,80,80
144,PICNIC_BASKET1,58340.5,12,12
144,PICNIC_BASKET2,30071.5,12,12
145,CROISSANTS,4236.5,33,33
145,DJEMBES,13301.5,20,20
145,JAMS,6515.5,60,61
